date,quantity,status
2020-09-02,5046.000000000001,recorded
2020-09-03,3990.000000000002,recorded
2020-09-04,3292.999999999999,recorded
2020-09-05,1615.0000000000011,recorded
2020-09-06,1995.0,recorded
2020-09-07,3578.0000000000005,recorded
2020-09-08,2637.0,recorded
2020-09-09,5721.000000000001,recorded
2020-09-10,3444.000000000001,recorded
2020-09-11,2923.000000000001,recorded
2020-09-12,1668.999999999999,recorded
2020-09-13,2654.0000000000005,recorded
2020-09-14,4688.000000000004,recorded
2020-09-15,4908.000000000002,recorded
2020-09-16,3645.0,recorded
2020-09-17,3055.0000000000027,recorded
2020-09-18,3881.000000000003,recorded
2020-09-19,1913.0000000000011,recorded
2020-09-20,1130.0,recorded
2020-09-21,4960.000000000002,recorded
2020-09-22,2617.000000000001,recorded
2020-09-23,4094.0000000000005,recorded
2020-09-24,3637.0000000000023,recorded
2020-09-25,3427.999999999999,recorded
2020-09-26,1603.0000000000005,recorded
2020-09-27,1440.0,recorded
2020-09-28,4087.0000000000014,recorded
2020-09-29,2422.0000000000005,recorded
2020-09-30,5544.000000000001,recorded
2020-10-01,4007.999999999999,recorded
2020-10-02,3759.9999999999995,recorded
2020-10-03,1871.9999999999975,recorded
2020-10-04,3351.0,recorded
2020-10-05,4195.999999999999,recorded
2020-10-06,3031.0000000000005,recorded
2020-10-07,3618.0000000000005,recorded
2020-10-08,4527.000000000001,recorded
2020-10-09,2956.0000000000014,recorded
2020-10-10,1532.999999999999,recorded
2020-10-11,1781.9999999999998,recorded
2020-10-12,4275.0,recorded
2020-10-13,3088.9999999999995,recorded
2020-10-14,3895.000000000001,recorded
2020-10-15,4419.0,recorded
2020-10-16,3700.9999999999977,recorded
2020-10-17,1672.0000000000002,recorded
2020-10-18,1763.0,recorded
2020-10-19,3490.9999999999986,recorded
2020-10-20,2595.0,recorded
2020-10-21,2785.999999999999,recorded
2020-10-22,3832.0,recorded
2020-10-23,3208.9999999999995,recorded
2020-10-24,1782.9999999999984,recorded
2020-10-25,1152.0000000000002,recorded
2020-10-26,3956.0000000000023,recorded
2020-10-27,2195.0000000000005,recorded
2020-10-28,881.0000000000001,recorded
2020-10-29,4589.999999999998,recorded
2020-10-30,3820.000000000001,recorded
2020-10-31,2417.9999999999977,recorded
2020-11-01,2652.9999999999995,recorded
2020-11-02,5781.000000000001,recorded
2020-11-03,3628.0000000000005,recorded
2020-11-04,3817.9999999999973,recorded
2020-11-05,5148.000000000001,recorded
2020-11-06,4400.000000000002,recorded
2020-11-07,2639.9999999999995,recorded
2020-11-08,1685.0,recorded
2020-11-09,5128.000000000002,recorded
2020-11-10,2481.999999999999,recorded
2020-11-11,4488.000000000004,recorded
2020-11-12,3276.0,recorded
2020-11-13,4085.9999999999986,recorded
2020-11-14,1784.9999999999986,recorded
2020-11-15,1196.0,recorded
2020-11-16,5072.0,recorded
2020-11-17,2609.999999999999,recorded
2020-11-18,3747.0000000000023,recorded
2020-11-19,3208.9999999999995,recorded
2020-11-20,2313.000000000001,recorded
2020-11-21,1540.999999999999,recorded
2020-11-22,2042.0000000000002,recorded
2020-11-23,4014.000000000001,recorded
2020-11-24,1939.9999999999993,recorded
2020-11-25,2549.9999999999986,recorded
2020-11-26,3783.999999999998,recorded
2020-11-27,2718.9999999999995,recorded
2020-11-28,1659.9999999999998,recorded
2020-11-29,973.0,recorded
2020-11-30,4759.0,recorded
2020-12-01,2334.9999999999995,recorded
2020-12-02,2868.9999999999977,recorded
2020-12-03,3963.000000000004,recorded
2020-12-04,3164.0000000000005,recorded
2020-12-05,1586.0,recorded
2020-12-06,715.0,recorded
2020-12-07,3028.0000000000005,recorded
2020-12-08,3049.9999999999995,recorded
2020-12-09,3478.0000000000005,recorded
2020-12-10,4310.999999999999,recorded
2020-12-11,2475.999999999999,recorded
2020-12-12,1526.0,recorded
2020-12-13,438.00000000000006,recorded
2020-12-14,3133.9999999999995,recorded
2020-12-15,2603.9999999999995,recorded
2020-12-16,2613.999999999999,recorded
2020-12-17,3009.9999999999986,recorded
2020-12-18,2971.999999999999,recorded
2020-12-19,1446.9999999999984,recorded
2020-12-20,1399.0,recorded
2020-12-21,3495.9999999999986,recorded
2020-12-22,2417.9999999999995,recorded
2020-12-23,4824.000000000002,recorded
2020-12-24,2991.999999999999,recorded
2020-12-25,,missing_date
2020-12-26,,missing_date
2020-12-27,1517.0,recorded
2020-12-28,4378.999999999998,recorded
2020-12-29,2709.0000000000005,recorded
2020-12-30,3123.9999999999995,recorded
2020-12-31,1489.9999999999989,recorded
2021-01-01,,negative_review
2021-01-02,0.0,recorded
2021-01-03,2508.0000000000005,recorded
2021-01-04,3697.0,recorded
2021-01-05,1706.0000000000011,recorded
2021-01-06,413.0,recorded
2021-01-07,4566.000000000003,recorded
2021-01-08,3270.0000000000023,recorded
2021-01-09,2026.0000000000007,recorded
2021-01-10,1857.9999999999995,recorded
2021-01-11,4903.000000000004,recorded
2021-01-12,2749.000000000002,recorded
2021-01-13,3222.0000000000014,recorded
2021-01-14,5340.000000000005,recorded
2021-01-15,3898.000000000002,recorded
2021-01-16,2077.000000000001,recorded
2021-01-17,2631.0000000000005,recorded
2021-01-18,4514.000000000003,recorded
