date,reference_date,actual,predicted,absolute_error,status
2022-03-25,2022-03-18,734.0,2298.0,1564.0,evaluated
2022-03-26,2022-03-19,1816.9999999999998,1386.9999999999995,430.0000000000002,evaluated
2022-03-27,2022-03-20,246.0,488.00000000000006,242.00000000000006,evaluated
2022-03-28,2022-03-21,3506.0000000000014,3170.9999999999995,335.0000000000018,evaluated
2022-03-29,2022-03-22,2822.0,2130.9999999999995,691.0000000000005,evaluated
2022-03-30,2022-03-23,3128.0000000000005,2876.0000000000005,252.0,evaluated
2022-03-31,2022-03-24,2886.000000000001,1492.9999999999995,1393.0000000000014,evaluated
2022-04-01,2022-03-25,3113.0000000000014,734.0,2379.0000000000014,evaluated
2022-04-02,2022-03-26,1611.9999999999998,1816.9999999999998,205.0,evaluated
2022-04-03,2022-03-27,415.99999999999994,246.0,169.99999999999994,evaluated
2022-04-04,2022-03-28,3266.000000000001,3506.0000000000014,240.00000000000045,evaluated
2022-04-05,2022-03-29,2408.0000000000005,2822.0,413.99999999999955,evaluated
2022-04-06,2022-03-30,2187.0,3128.0000000000005,941.0000000000005,evaluated
2022-04-07,2022-03-31,2755.0000000000005,2886.000000000001,131.00000000000045,evaluated
2022-04-08,2022-04-01,2608.0,3113.0000000000014,505.00000000000136,evaluated
2022-04-09,2022-04-02,1386.9999999999998,1611.9999999999998,225.0,evaluated
2022-04-10,2022-04-03,995.9999999999999,415.99999999999994,580.0,evaluated
2022-04-11,2022-04-04,3502.0000000000014,3266.000000000001,236.00000000000045,evaluated
2022-04-12,2022-04-05,2928.0000000000005,2408.0000000000005,520.0,evaluated
2022-04-13,2022-04-06,3446.000000000001,2187.0,1259.000000000001,evaluated
2022-04-14,2022-04-07,2413.0,2755.0000000000005,342.00000000000045,evaluated
2022-04-15,2022-04-08,2197.0,2608.0,411.0,evaluated
2022-04-16,2022-04-09,1218.9999999999995,1386.9999999999998,168.00000000000023,evaluated
2022-04-17,2022-04-10,551.0000000000001,995.9999999999999,444.9999999999998,evaluated
2022-04-18,2022-04-11,2819.0000000000005,3502.0000000000014,683.0000000000009,evaluated
2022-04-19,2022-04-12,2119.0000000000005,2928.0000000000005,809.0,evaluated
2022-04-20,2022-04-13,2347.0,3446.000000000001,1099.000000000001,evaluated
2022-04-21,2022-04-14,3902.0000000000005,2413.0,1489.0000000000005,evaluated
2022-04-22,2022-04-15,1808.0000000000007,2197.0,388.9999999999993,evaluated
2022-04-23,2022-04-16,871.9999999999998,1218.9999999999995,346.9999999999998,evaluated
2022-04-24,2022-04-17,0.0,551.0000000000001,551.0000000000001,evaluated
2022-04-25,2022-04-18,1456.0,2819.0000000000005,1363.0000000000005,evaluated
2022-04-26,2022-04-19,3316.0,2119.0000000000005,1196.9999999999995,evaluated
2022-04-27,2022-04-20,1788.9999999999986,2347.0,558.0000000000014,evaluated
2022-04-28,2022-04-21,3125.0,3902.0000000000005,777.0000000000005,evaluated
2022-04-29,2022-04-22,2870.0,1808.0000000000007,1061.9999999999993,evaluated
2022-04-30,2022-04-23,1481.9999999999998,871.9999999999998,610.0,evaluated
2022-05-01,2022-04-24,,0.0,,missing_actual
2022-05-02,2022-04-25,733.0,1456.0,723.0,evaluated
2022-05-03,2022-04-26,4062.0000000000023,3316.0,746.0000000000023,evaluated
2022-05-04,2022-04-27,3850.0000000000023,1788.9999999999986,2061.0000000000036,evaluated
2022-05-05,2022-04-28,4530.0,3125.0,1405.0,evaluated
2022-05-06,2022-04-29,3270.000000000002,2870.0,400.0000000000018,evaluated
2022-05-07,2022-04-30,1834.0000000000007,1481.9999999999998,352.0000000000009,evaluated
2022-05-08,2022-05-01,3484.0000000000005,,,missing_reference
2022-05-09,2022-05-02,3413.0000000000014,733.0,2680.0000000000014,evaluated
2022-05-10,2022-05-03,2831.000000000001,4062.0000000000023,1231.0000000000014,evaluated
2022-05-11,2022-05-04,2818.0000000000005,3850.0000000000023,1032.0000000000018,evaluated
2022-05-12,2022-05-05,3492.0000000000005,4530.0,1037.9999999999995,evaluated
2022-05-13,2022-05-06,3051.0000000000014,3270.000000000002,219.00000000000045,evaluated
2022-05-14,2022-05-07,1873.0000000000007,1834.0000000000007,39.0,evaluated
2022-05-15,2022-05-08,1364.0000000000002,3484.0000000000005,2120.0,evaluated
2022-05-16,2022-05-09,4682.000000000003,3413.0000000000014,1269.0000000000014,evaluated
2022-05-17,2022-05-10,3835.000000000002,2831.000000000001,1004.0000000000009,evaluated
