date,actual,baseline,random_forest,evaluated
2022-02-05,1313.9999999999995,1935.0000000000005,1642.2495111310614,True
2022-02-06,658.0,1488.0000000000002,1579.855828518704,True
2022-02-07,4148.000000000001,3529.000000000002,3815.464438237959,True
2022-02-08,2269.9999999999995,2519.000000000001,2639.3139047800773,True
2022-02-09,2406.0000000000005,3751.000000000002,3184.348506365609,True
2022-02-10,2857.0000000000005,2948.9999999999995,3705.9669623281293,True
2022-02-11,2113.0000000000005,3210.000000000001,3510.6080921849934,True
2022-02-12,1475.0,1313.9999999999995,1691.5274449004055,True
2022-02-13,424.0,658.0,1447.2808209429465,True
2022-02-14,4300.000000000002,4148.000000000001,3265.565670629616,True
2022-02-15,2004.0,2269.9999999999995,2607.3726049125007,True
2022-02-16,3005.0000000000014,2406.0000000000005,3042.9407550795377,True
2022-02-17,3878.000000000001,2857.0000000000005,3409.178503193047,True
2022-02-18,2714.0000000000005,2113.0000000000005,2934.1770423019525,True
2022-02-19,1427.9999999999995,1475.0,1447.8148911835817,True
2022-02-20,532.0,424.0,1517.9659572510825,True
2022-02-21,3524.000000000001,4300.000000000002,3583.214453620374,True
2022-02-22,2937.0000000000014,2004.0,2491.0007419279,True
2022-02-23,2481.0,3005.0000000000014,3413.3222420345264,True
2022-02-24,3337.000000000001,3878.000000000001,3357.015681326776,True
2022-02-25,2424.0000000000005,2714.0000000000005,2951.3809505526456,True
2022-02-26,1882.0000000000005,1427.9999999999995,1668.0196612673724,True
2022-02-27,1435.0,532.0,1492.617726010101,True
2022-02-28,3445.000000000003,3524.000000000001,3795.8365798534196,True
2022-03-01,2356.0000000000014,2937.0000000000014,2943.9086690629583,True
2022-03-02,3200.000000000002,2481.0,3204.15471938399,True
2022-03-03,3972.000000000002,3337.000000000001,3303.9238870269905,True
2022-03-04,2738.0000000000005,2424.0000000000005,2851.8360586229146,True
2022-03-05,1250.0000000000005,1882.0000000000005,1454.207688257539,True
2022-03-06,0.0,1435.0,1555.8718630952385,True
2022-03-07,736.0,3445.000000000003,2795.2344204545457,True
2022-03-08,2755.0,2356.0000000000014,2931.6589111462636,True
2022-03-09,5594.000000000001,3200.000000000002,3472.6606669377816,True
2022-03-10,3134.0000000000005,3972.000000000002,3367.0781357456876,True
2022-03-11,2131.000000000001,2738.0000000000005,3059.3007761888143,True
2022-03-12,1673.0,1250.0000000000005,1630.979461758547,True
2022-03-13,40.0,0.0,1451.2305723304476,True
2022-03-14,3129.0000000000014,736.0,3236.98566434954,True
2022-03-15,1595.0,2755.0,2945.4044330090155,True
2022-03-16,2918.000000000001,5594.000000000001,3554.478585296242,True
2022-03-17,2808.9999999999995,3134.0000000000005,3510.8475290108386,True
2022-03-18,2298.0,2131.000000000001,2948.1073348752084,True
